dataset	task_id	class_ids	train_samples	dev_samples	test_samples	train_sha256	dev_sha256	test_sha256
clinc150	12	1,20,43,54,71,89,97,103,114,144	1000	0	300	db8e7623987581f0cfe7d915a98fc966c25a039313e0dcef111f7984d3ca11bb	N/A	40b4b8779593dbf5944ed96c01c98cc03c22fda8d7f342d0e39935adb1ff83c9
clinc150	13	7,8,23,50,55,56,59,107,129,148	1000	0	300	e7e7760d8dda18209be6b507ddfa96c232c923a146b9cd60921c6a73558458b8	N/A	971e7320ddf5ed78516398f2ae2f9d76f2b00fc4d8910347d0b900af65591473
clinc150	14	6,22,26,28,35,57,62,70,108,139	1000	0	300	4267c090c9a1162aae929a598aa0d0e79546003f8b00947211585bc8ac96fdba	N/A	3dc8f09f83901cc0e6f6ce36cbca825170f58d3a8b786094e8de247d2b9061e2
banking77	0	8,15,29,30,33,36,39,40,46,47,49	1462	0	439	a9883ad1d827f421d4b7e2808024a81fc9d39e06e71ac3b469b68c14050ee4b0	N/A	2ff642345891b621b0931ceae77df82b22b315b5f0cfe3fb7387183f30e3aa9b
banking77	1	7,18,19,25,52,56,58,59,61,64,66	1575	0	439	ab0d224280e7a12083f9c74fcc2674d329ff80da73f894fd109ab368e455db2e	N/A	c3c2f7b5c60e196101740f270e6ec20aaa826f44ef88f6ec356066c04d0f126a
banking77	2	2,16,20,23,42,50,51,55,57,65,73	1337	0	440	fce84ce4d03befb7f5ff10473144d6eb2e287e6150d1f99e4c9fa439dfddd192	N/A	0cea00f252ed0361af82040f9064c2c2121f19deee93b2d5877193f0cb107f95
banking77	3	5,6,9,21,22,24,43,48,53,60,70	1455	0	439	054d5eeb137f44d6fd2d15e12e076cda9cd65e46766fb421c5cf90b2d09dd105	N/A	779d51f1dc878860eb391bd12f9abe736bb7cd3308abdf561d5eab76d07eda81
banking77	4	0,10,26,34,37,44,62,63,67,71,72	1330	0	440	b9885e74b059d947f1404c9e508819c079e4020f38cef7f9f822620b0cba65b2	N/A	c374eba3e60906b6329749e85caa2445eba6b23adc7060f2043f4b48bc799a16
banking77	5	1,12,27,32,38,41,45,68,74,75,76	1378	0	440	7c6f8d42fc095b9be5e40f3036f61294269c17f3dfdfbac2104df3440ed3fc67	N/A	251108111c8b29e6961d77834ae65429e5b8ae4fd869d80105f9d1fd0d77c481
banking77	6	3,4,11,13,14,17,28,31,35,54,69	1456	0	439	66a077080182c12d8ed0aabf79c0e8ea62f3458fba2e502c31cb81f299f6fd6a	N/A	85ca7919ebb51bd152224527e16ef69bb3d616efafefd90b230bf33d66291ae2
fewrel_acl2024	0	0,1,2,3,4,5,6,7,8,9	4200	1400	1400	5fda53714fb9bb5edd1ad1c4fe2835cba47ae1e8983d1bc149be606d3e05ab7c	2dddac8cc73fa9e2a7db106709a240758f9ba3fd744a8283d2a3389513b4716d	ffaae6caddba09d12a82ff8072a9e56f70c5d3389a1f263b991df554aad89530
fewrel_acl2024	1	10,11,12,13,14,15,16,17,18,19	4200	1400	1400	e575cc52ac19236768590de5e6bf49267205b4fd5194e131ae2ccdab17473be6	79d011e87efd698c7b2bd8277a7220b18f02b0c0fa8966ba8dc6d950b22ba6ff	89343e42896814eb529aeaf65d578d926b11c0dcba59454c91948a48c034db12
fewrel_acl2024	2	20,21,22,23,24,25,26,27,28,29	4200	1400	1400	74f209a5a3ca5390466c0ef899b9e53de689393374e1bb7c375f30acb0f825e8	967e10daaf56eae471b1ca33449a6e17d483fbf5c56bfd65877dbfdd7b356504	fc81b8134c3acd515b756536795b6d946e0bbf910c8ab13c48b6eb00f408719b
fewrel_acl2024	3	30,31,32,33,34,35,36,37,38,39	4200	1400	1400	020000bae03fd12f9bb15af39823b1126b628e6804b09b4e4a5905c21027e90f	af180096308652eb18dbba0b4d1075f7e26292a52a4dcf798f7704cde61b964b	7ce0ac3cf4edf6d427cd2d6bb293eec2264478e73afeeaa1e490e474e5e1484e
fewrel_acl2024	4	40,41,42,43,44,45,46,47,48,49	4200	1400	1400	413bae0d4d5283affc966cebe8b3da6ec8cc8362e46b0352ad4487c95038fd65	9c12e3a5564ee22f5fc1769a9e88222dab8069239b49fe043b0f5de527e3a6f0	f0dc70b31a9caab6a520ddb7319e98a85c7cf1724a101c5c40adde59f57c6a79
fewrel_acl2024	5	50,51,52,53,54,55,56,57,58,59	4200	1400	1400	5cbc06cb180853591ea26c209a181f93062ec8ff6188ab5c827035e780784c76	832d9293824d3b7cb64c068aacc9d9cc8117ee1770786b5980dc45d9a50dd3d7	aff130842b640b26fc88f9a19c7cf6942c0d66eb9c6e4b8d80fdcb18ffb98db9
fewrel_acl2024	6	60,61,62,63,64,65,66,67,68,69	4200	1400	1400	bf51cd2d3f7c6000b342a8886b381046991872f740b47129a56883c1dc0522e4	fef98dfc5b32b599873e748c2b3b04b44a2c48f30952684d955823965a0e4df9	824c2764cb53c39ddec8328c1f763accdb4dbcea25a3f66b485cfd6eedaa5a08
fewrel_acl2024	7	70,71,72,73,74,75,76,77,78,79	4200	1400	1400	89b981ab67819c41edcea535114624d179700bdef44661ca9adfbd64fe5ffc80	e45b883177f65cb6dd67a994b4328f736bc81715a8fd71e234170ef950e3f45a	ee49582bf23b2d4604d0372e9b9b5c7260df448400ee219d235ee0e2baca2e5d
